dcterms_identifier|dwc_establishmentMeans|dcterms_modified|dwc_organismRemarks|dwc_collectionCode|dwc_catalogNumber|dwc_georeferenceRemarks|dwc_decimalLatitude|dwc_decimalLongitude|geo_alt|dwc_organismName|dwc_organismScope|cameo|notes|suppress
http://bioimages.vanderbilt.edu/ind-baskauf/11371|adventive|2015-07-31T15:56:37-05:00|Individual represents population on rock near abandoned dwelling.; adventive|||Location determined from Google maps.|35.65308|-83.57694|||colony|http://bioimages.vanderbilt.edu/baskauf/11371||
http://bioimages.vanderbilt.edu/ind-baskauf/11383|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|35.65308|-83.57694|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/11383||
http://bioimages.vanderbilt.edu/ind-baskauf/11392|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|35.65262|-83.57437|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/11392||
http://bioimages.vanderbilt.edu/ind-baskauf/11397|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|35.65262|-83.57437|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/11397||
http://bioimages.vanderbilt.edu/ind-baskauf/11406|native|2015-07-31T15:56:37-05:00|Population killed by balsam wooly adelgid.|||Location determined from Google maps.|35.55562|-83.49751|||colony|http://bioimages.vanderbilt.edu/baskauf/11406||
http://bioimages.vanderbilt.edu/ind-baskauf/11411|native|2015-07-31T15:56:37-05:00|Individual represents small population by parking lot.|||Location determined from Google maps.|35.55688|-83.49606|||colony|http://bioimages.vanderbilt.edu/baskauf/11411||
http://bioimages.vanderbilt.edu/ind-baskauf/11420|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|35.56291|-83.49968|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/11421||
http://bioimages.vanderbilt.edu/ind-baskauf/11427|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|35.55874|-83.49605|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/11427||
http://bioimages.vanderbilt.edu/ind-baskauf/11439|native|2015-07-31T15:56:37-05:00|Numerous small trees sprouting from roots.|||Location determined from Google maps.|35.55874|-83.49605|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/11439||
http://bioimages.vanderbilt.edu/ind-baskauf/11442|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|35.6362|-83.49285|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/11444||
http://bioimages.vanderbilt.edu/ind-baskauf/11447|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|35.63534|-83.49306|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/11447||
http://bioimages.vanderbilt.edu/ind-baskauf/11454|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|35.63534|-83.49306|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/11457||
http://bioimages.vanderbilt.edu/ind-baskauf/11469|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|35.63534|-83.49306|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/11469||
http://bioimages.vanderbilt.edu/ind-baskauf/11471|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|35.63534|-83.49306|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/11471||
http://bioimages.vanderbilt.edu/ind-baskauf/11490|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|35.63534|-83.49306|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/11490||
http://bioimages.vanderbilt.edu/ind-baskauf/11492|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|35.63534|-83.49306|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/11492||
http://bioimages.vanderbilt.edu/ind-baskauf/11495|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|35.63534|-83.49306|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/11495||
http://bioimages.vanderbilt.edu/ind-baskauf/11497|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|35.63534|-83.49306|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/11497||
http://bioimages.vanderbilt.edu/ind-baskauf/11498|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|35.63534|-83.49306|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/11499||
http://bioimages.vanderbilt.edu/ind-baskauf/11504|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|35.63534|-83.49306|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/11504||
http://bioimages.vanderbilt.edu/ind-baskauf/11506|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|35.63679|-83.49268|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/11509||
http://bioimages.vanderbilt.edu/ind-baskauf/11510|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|35.63714|-83.49116|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/11515||
http://bioimages.vanderbilt.edu/ind-baskauf/11522|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|35.97495|-83.60546|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/11522||
http://bioimages.vanderbilt.edu/ind-baskauf/11526|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|35.66605|-83.5991|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/11528||
http://bioimages.vanderbilt.edu/ind-baskauf/11529|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|35.67822|-83.56158|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/11529||
http://bioimages.vanderbilt.edu/ind-baskauf/11550|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|35.68006|-83.46358|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/11550||
